disease_name,metric,flag_value,row_count
Rift Valley fever,is_bat,TRUE,6
Rift Valley fever,is_bat,FALSE,35
Rift Valley fever,is_bird,FALSE,41
Rift Valley fever,is_human,TRUE,1
Rift Valley fever,is_human,FALSE,40
Rift Valley fever,is_livestock_like,TRUE,6
Rift Valley fever,is_livestock_like,FALSE,35
Rift Valley fever,is_rodent,TRUE,8
Rift Valley fever,is_rodent,FALSE,33
Severe fever with thrombocytopenia syndrome (SFTS),candidate_rows,,36
Severe fever with thrombocytopenia syndrome (SFTS),is_bat,TRUE,4
Severe fever with thrombocytopenia syndrome (SFTS),is_bat,FALSE,31
Severe fever with thrombocytopenia syndrome (SFTS),is_bat,,1
Severe fever with thrombocytopenia syndrome (SFTS),is_bird,TRUE,1
Severe fever with thrombocytopenia syndrome (SFTS),is_bird,FALSE,34
Severe fever with thrombocytopenia syndrome (SFTS),is_bird,,1
Severe fever with thrombocytopenia syndrome (SFTS),is_human,TRUE,1
Severe fever with thrombocytopenia syndrome (SFTS),is_human,FALSE,35
Severe fever with thrombocytopenia syndrome (SFTS),is_livestock_like,TRUE,6
Severe fever with thrombocytopenia syndrome (SFTS),is_livestock_like,FALSE,30
Severe fever with thrombocytopenia syndrome (SFTS),is_rodent,TRUE,7
Severe fever with thrombocytopenia syndrome (SFTS),is_rodent,FALSE,28
Severe fever with thrombocytopenia syndrome (SFTS),is_rodent,,1
Sudan virus disease (Ebola virus disease),candidate_rows,,1
Sudan virus disease (Ebola virus disease),is_bat,FALSE,1
Sudan virus disease (Ebola virus disease),is_bird,FALSE,1
Sudan virus disease (Ebola virus disease),is_human,TRUE,1
Sudan virus disease (Ebola virus disease),is_livestock_like,FALSE,1
Sudan virus disease (Ebola virus disease),is_rodent,FALSE,1
Tick-borne encephalitis,candidate_rows,,92
Tick-borne encephalitis,is_bat,TRUE,1
Tick-borne encephalitis,is_bat,FALSE,90
Tick-borne encephalitis,is_bat,,1
Tick-borne encephalitis,is_bird,TRUE,43
Tick-borne encephalitis,is_bird,FALSE,48
Tick-borne encephalitis,is_bird,,1
Tick-borne encephalitis,is_human,TRUE,1
Tick-borne encephalitis,is_human,FALSE,91
Tick-borne encephalitis,is_livestock_like,TRUE,5
Tick-borne encephalitis,is_livestock_like,FALSE,87
Tick-borne encephalitis,is_rodent,TRUE,25
Tick-borne encephalitis,is_rodent,FALSE,66
Tick-borne encephalitis,is_rodent,,1
Venezuelan equine encephalitis,candidate_rows,,87
Venezuelan equine encephalitis,is_bat,TRUE,14
Venezuelan equine encephalitis,is_bat,FALSE,73
Venezuelan equine encephalitis,is_bird,TRUE,19
Venezuelan equine encephalitis,is_bird,FALSE,68
Venezuelan equine encephalitis,is_human,TRUE,1
Venezuelan equine encephalitis,is_human,FALSE,86
Venezuelan equine encephalitis,is_livestock_like,TRUE,6
Venezuelan equine encephalitis,is_livestock_like,FALSE,81
Venezuelan equine encephalitis,is_rodent,TRUE,26
Venezuelan equine encephalitis,is_rodent,FALSE,61
West Nile fever,candidate_rows,,274
West Nile fever,is_bat,TRUE,13
West Nile fever,is_bat,FALSE,259
West Nile fever,is_bat,,2
West Nile fever,is_bird,TRUE,160
West Nile fever,is_bird,FALSE,112
West Nile fever,is_bird,,2
West Nile fever,is_human,TRUE,1
West Nile fever,is_human,FALSE,273
West Nile fever,is_livestock_like,TRUE,8
West Nile fever,is_livestock_like,FALSE,266
West Nile fever,is_rodent,TRUE,32
West Nile fever,is_rodent,FALSE,240
West Nile fever,is_rodent,,2
Yellow fever,candidate_rows,,73
Yellow fever,is_bat,TRUE,11
Yellow fever,is_bat,FALSE,56
Yellow fever,is_bat,,6
Yellow fever,is_bird,FALSE,67
Yellow fever,is_bird,,6
Yellow fever,is_human,TRUE,1
Yellow fever,is_human,FALSE,72
Yellow fever,is_livestock_like,FALSE,73
Yellow fever,is_rodent,TRUE,2
Yellow fever,is_rodent,FALSE,65
Yellow fever,is_rodent,,6
Zika virus disease,candidate_rows,,21
Zika virus disease,is_bat,TRUE,9
Zika virus disease,is_bat,FALSE,11
Zika virus disease,is_bat,,1
Zika virus disease,is_bird,FALSE,20
Zika virus disease,is_bird,,1
Zika virus disease,is_human,TRUE,1
Zika virus disease,is_human,FALSE,20
Zika virus disease,is_livestock_like,FALSE,21
Zika virus disease,is_rodent,TRUE,2
Zika virus disease,is_rodent,FALSE,18
Zika virus disease,is_rodent,,1
