"X","Or_name","IUCN_Present","IUCN_id","IUCN_name","IUCN_Category","IUCN_N_syn","IUCN_syn","IUCN_Phylum","IUCN_Class","IUCN_Order","IUCN_Family","ITIS_Present","ITIS_is_valid","ITIS_id","ITIS_name","ITIS_Phylum","ITIS_N_syn","ITIS_syn","ITIS_Class","ITIS_Order","ITIS_Family","GBIF_Present","GBIF_id","GBIF_name","GBIF_N_syn","GBIF_syn","GBIF_Phylum","GBIF_Class","GBIF_Order","GBIF_Family"
1,"Chrotogale owstoni","Yes",4806,"Chrotogale owstoni","K",1,"Hemigalus owstoni","CHORDATA","MAMMALIA","CARNIVORA","VIVERRIDAE",TRUE,TRUE,NA,NA,NA,1,NA,NA,NA,NA,TRUE,NA,"Chrotogale owstoni",1,"Chrotogale owstoni","CHORDATA","MAMMALIA","CARNIVORA","VIVERRIDAE"
1,"Chrysocyon brachyurus","Yes",4819,"Chrysocyon brachyurus","N/A",1,"Canis brachyurus","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE",TRUE,TRUE,"183827","Chrysocyon brachyurus","CHORDATA",1,"Canis brachyurus","MAMMALIA","CARNIVORA","CANIDAE",TRUE,NA,"Chrysocyon brachyurus",1,"Chrysocyon brachyurus","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE"
1,"Chrysolophus pictus","Yes",22679355,"Chrysolophus pictus","NT",NA,NA,"CHORDATA","AVES","GALLIFORMES","PHASIANIDAE",TRUE,TRUE,"176100","Chrysolophus pictus","CHORDATA",1,"Phasianus pictus","AVES","GALLIFORMES","PHASIANIDAE",TRUE,NA,"Chrysolophus pictus",1,"Chrysolophus pictus","CHORDATA","AVES","GALLIFORMES","PHASIANIDAE"
1,"Ciconia ciconia","Yes",22697691,"Ciconia ciconia","NT",NA,NA,"CHORDATA","AVES","CICONIIFORMES","CICONIIDAE",TRUE,TRUE,"174907","Ciconia ciconia","CHORDATA",1,"Ardea ciconia","AVES","CICONIIFORMES","CICONIIDAE",TRUE,NA,"Ciconia ciconia",1,"Ciconia ciconia","CHORDATA","AVES","CICONIIFORMES","CICONIIDAE"
1,"Cinclus cinclus","Yes",22708156,"Cinclus cinclus","LR/lc",NA,NA,"CHORDATA","AVES","PASSERIFORMES","CINCLIDAE",TRUE,TRUE,NA,NA,NA,1,NA,NA,NA,NA,TRUE,NA,"Cinclus cinclus",1,"Cinclus cinclus","CHORDATA","AVES","PASSERIFORMES","CINCLIDAE"
1,"Circus aeruginosus","Yes",22695344,"Circus aeruginosus","LR/lc",NA,NA,"CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",TRUE,TRUE,"559297","Circus aeruginosus","CHORDATA",1,"Falco aeruginosus","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",TRUE,NA,"Circus aeruginosus",1,"Circus aeruginosus","CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE"
1,"Circus hudsonius","Yes",22727740,"Circus hudsonius","LC",NA,NA,"CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",TRUE,TRUE,"1253654","Circus hudsonius","CHORDATA",1,"Falco hudsonius","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",TRUE,"5229175-5229487","Circus hudsonius-Corvus hudsonia",4,"Circus hudsonius;Corvus hudsonia;Circus cyaneus;Pica hudsonia","CHORDATA","AVES","ACCIPITRIFORMES-PASSERIFORMES","ACCIPITRIDAE-CORVIDAE"
NA,"Civettictis civetta","Yes",41695,"Civettictis civetta","LR/lc",1,"Viverra civetta","CHORDATA","MAMMALIA","CARNIVORA","VIVERRIDAE",TRUE,TRUE,"621988","Civettictis civetta","CHORDATA",1,"Viverra civetta","MAMMALIA","CARNIVORA","VIVERRIDAE",TRUE,NA,"Civettictis civetta",1,"Civettictis civetta","CHORDATA","MAMMALIA","CARNIVORA","VIVERRIDAE"
1,"Clanga pomarina","Yes",22696022,"Clanga pomarina","NR",1,"Aquila pomarina","CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",TRUE,TRUE,"1253609","Clanga pomarina","CHORDATA",1,"Aquila pomarina","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",TRUE,"2480505","Clanga pomarina",2,"Clanga pomarina;Aquila pomarina","CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE"
1,"Clangula hyemalis","Yes",22680427,"Clangula hyemalis","LR/lc",NA,NA,"CHORDATA","AVES","ANSERIFORMES","ANATIDAE",TRUE,TRUE,"175147","Clangula hyemalis","CHORDATA",1,"Anas hyemalis","AVES","ANSERIFORMES","ANATIDAE",TRUE,NA,"Clangula hyemalis",1,"Clangula hyemalis","CHORDATA","AVES","ANSERIFORMES","ANATIDAE"
1,"Clethrionomys rutilus","Yes",4975,"Clethrionomys rutilus","LR/lc",2,"Mus rutilus;Myodes rutilus","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"5706762-5706764","Clethrionomys rutilus-Clethrionomys rubidus",4,"Clethrionomys rutilus;Clethrionomys rubidus;Myodes rutilus;Myodes glareolus","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE"
1,"Coccycua minuta","Yes",22684379,"Coccycua minuta","LR/lc",1,"Piaya minuta","CHORDATA","AVES","CUCULIFORMES","CUCULIDAE",TRUE,TRUE,"1243725","Coccycua minuta","CHORDATA",2,"Piaya minuta;Coccyzus minutus","AVES","CUCULIFORMES","CUCULIDAE",TRUE,"2496428","Coccycua minuta-Coccyzus minutus",3,"Coccycua minuta;Coccyzus minutus;Piaya minuta","CHORDATA","AVES","CUCULIFORMES","CUCULIDAE"
1,"Colaptes auratus","Yes",22726404,"Colaptes auratus","LC",NA,NA,"CHORDATA","AVES","PICIFORMES","PICIDAE",TRUE,TRUE,NA,NA,NA,1,NA,NA,NA,NA,TRUE,NA,"Colaptes auratus-Cleptes aurata",2,"Colaptes auratus;Cleptes aurata","CHORDATA-ARTHROPODA","AVES-INSECTA","PICIFORMES-HYMENOPTERA","PICIDAE-CHRYSIDIDAE"
1,"Colobus guereza","Yes",5143,"Colobus guereza","nt",1,"Colobus abyssinicus (Oken, 1816) ","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE",TRUE,TRUE,NA,NA,NA,1,NA,NA,NA,NA,TRUE,NA,"Colobus guereza",1,"Colobus guereza","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE"
1,"Coloeus monedula","Yes",22705929,"Corvus monedula","LR/lc",NA,NA,"CHORDATA","AVES","PASSERIFORMES","CORVIDAE",TRUE,TRUE,"916629","Coloeus monedula","CHORDATA",1,"Corvus monedula","AVES","PASSERIFORMES","CORVIDAE",TRUE,NA,"Coloeus monedula",1,"Coloeus monedula","CHORDATA","AVES","PASSERIFORMES","CORVIDAE"
1,"Columba guinea","Yes",22690080,"Columba guinea","LR/lc",NA,NA,"CHORDATA","AVES","COLUMBIFORMES","COLUMBIDAE",TRUE,TRUE,NA,NA,NA,1,NA,NA,NA,NA,TRUE,NA,"Columba guinea",1,"Columba guinea","CHORDATA","AVES","COLUMBIFORMES","COLUMBIDAE"
1,"Columba livia","Yes",22690066,"Columba livia","LR/lc",NA,NA,"CHORDATA","AVES","COLUMBIFORMES","COLUMBIDAE",TRUE,TRUE,NA,NA,NA,1,NA,NA,NA,NA,TRUE,"NA-5231870","Columba livia-Columba oliviae-Columba olivae",3,"Columba livia;Columba oliviae;Columba olivae","CHORDATA","AVES","COLUMBIFORMES","COLUMBIDAE"
1,"Columba palumbus","Yes",22690103,"Columba palumbus","LR/lc",NA,NA,"CHORDATA","AVES","COLUMBIFORMES","COLUMBIDAE",TRUE,TRUE,NA,NA,NA,1,NA,NA,NA,NA,TRUE,"NA-2495314","Columba palumbus-Columba plumbea",3,"Columba palumbus;Columba plumbea;Patagioenas plumbea","CHORDATA","AVES","COLUMBIFORMES","COLUMBIDAE"
1,"Columba","Yes",22690092,"Columba oliviae","TRUE",NA,NA,"CHORDATA","AVES","COLUMBIFORMES","COLUMBIDAE",TRUE,FALSE,"555612;555615;555616;555617;555618;555621;1125206;1158843;1170597;1170829;1202319","Columba oliviae;Columba arquatrix;Columba pollenii;Columba hodgsonii;Columba elphinstonii;Columba larvata;Columba torringtoniae;Tinaminyssus columbae;Harpyrhynchoides columbae;Peristerophila columbae;Gonionida columbae",NA,14,"Columba olivae;Columba arguatrix;Columba polleni;Columba hodgsoni;Columba elphinstoni;Aplopelia larvata;Columba torringtoni;Columba torringtonii;Palumbus torringtoniae;Neonyssus columbae;Mesonyssus columbae;Harpyrhynchus columbae;Syringophilus columbae;Munida columbae",NA,NA,NA,TRUE,"NA-4593175-2495708-2495583-2496081-2684910-2401706-4405010-7311196-2495404-2495471-2495720-2496125-2495840-2495310-2495321-2495579-2495529-9559698-7417222-5955820-3033953","Animalia-Columba-Columna-Columbea-Columbia-Colunba-Columba aenas-Columba amboinensis-Columba domestica-Columba eimeensis-Columba erythrothorax-Columba hispida-Columba livia butleri-Columba livia canariensis-Columba livia domestica-Columba livia fasciata-Columba livia livia-Columba livia nigricans-Columba palumbus excelsa-Columba bitorquata-Columba caniceps-Columba indica-Columba leucocephala-Columba subvinacea-Columba tannensis-Columba viridis-Cepphus columba columba-Dolomena columba columba-Obroatis columba-Stichopilidium columba-Trachelomonas columba-Amphidonta columba-Conus columba-Corocalyptra columba-Jateorhiza columba-Menispermum columba-? columba-? columbi-? columna",59,"Animalia;Columba;Columna;Columbea;Columbia;Colunba;Columba aenas;Columba amboinensis;Columba domestica;Columba eimeensis;Columba erythrothorax;Columba hispida;Columba livia butleri;Columba livia canariensis;Columba livia domestica;Columba livia fasciata;Columba livia livia;Columba livia nigricans;Columba palumbus excelsa;Columba bitorquata;Columba caniceps;Columba indica;Columba leucocephala;Columba subvinacea;Columba tannensis;Columba viridis;Cepphus columba columba;Dolomena columba columba;Obroatis columba;Stichopilidium columba;Trachelomonas columba;Amphidonta columba;Conus columba;Corocalyptra columba;Jateorhiza columba;Menispermum columba;? columba;? columbi;? columna;NA;Streptopelia turtur;Ptilinopus dupetithouarsii;Leptotila rufaxilla;Drepanoptila holosericea;Columba oenas;Columba livia;Columba palumbus;Streptopelia bitorquata;Geotrygon caniceps;Chalcophaps indica;Patagioenas leucocephala;Patagioenas subvinacea;Ptilinopus tannensis;Ptilinopus viridis;Cepphus columba;Dolomena columba;Rhynchostreon suborbiculatum;Conasprella puncticulata;Jateorhiza palmata","NA-CHORDATA-MOLLUSCA-TRACHEOPHYTA-PLATYHELMINTHES-PORIFERA-ARTHROPODA-EUGLENOZOA-BRACHIOPODA","NA-AVES-BIVALVIA-GASTROPODA-PINOPSIDA-CESTODA-MAGNOLIOPSIDA-INSECTA-POLYCYSTINA-EUGLENOIDEA-LINGULATA-MAMMALIA-CEPHALOPODA","NA-COLUMBIFORMES-UNIONIDA-STYLOMMATOPHORA-PINALES-PERCOPSIFORMES-CYCLOPHYLLIDEA-MALVALES-CHARADRIIFORMES-LITTORINIMORPHA-LEPIDOPTERA-NASSELLARIA-EUGLENIDA-OSTREIDA-NEOGASTROPODA-RANUNCULALES-LINGULIDA-PROBOSCIDEA-PLEUROTOMARIIDA","NA-COLUMBIDAE-MYCETOPODIDAE-ACHATINIDAE-ARAUCARIACEAE-PERCOPSIDAE-ANOPLOCEPHALIDAE-MALVACEAE-ALCIDAE-STROMBIDAE-EREBIDAE-THEOPERIDAE-EUGLENACEAE-GRYPHAEIDAE-CONIDAE-MENISPERMACEAE-OBOLIDAE-ELEPHANTIDAE-BACULITIDAE-SINUSPIRIDAE"
