host_species,host_phylum,host_class,host_order,host_family,host_in_gonzalos_list,diseases,has_pilot_disease,pilot_diseases,has_pilot_include_disease,pilot_include_diseases,Not_specified,PCR_Sequencing,Isolation_Observation,Antibodies,Any_PCR_Or_Observation
Macaca fuscata,Chordata,Mammalia,Primates,Cercopithecidae,TRUE,Babesiosis due to Babesia microti; Borna disease (encephalitis); Hepatitis E; Q fever; West Nile fever,TRUE,Borna disease (encephalitis); Hepatitis E; West Nile fever,TRUE,Hepatitis E; West Nile fever,0,3,0,3,3
Macaca mulatta,Chordata,Mammalia,Primates,Cercopithecidae,TRUE,Babesiosis due to Babesia microti; Chagas disease; Chikungunya fever; Ebola virus disease; Hepatitis E; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Japanese encephalitis; Melioidosis; Mpox (Monkeypox); Non-typhoidal salmonellosis; West Nile fever; Yellow fever; Zika virus disease; Zoonotic malaria,TRUE,Chikungunya fever; Ebola virus disease; Hepatitis E; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Mpox (Monkeypox); Non-typhoidal salmonellosis; West Nile fever; Yellow fever; Zika virus disease,TRUE,Chikungunya fever; Ebola virus disease; Hepatitis E; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever; Yellow fever; Zika virus disease,0,8,3,6,11
Macaca nemestrina,Chordata,Mammalia,Primates,Cercopithecidae,TRUE,Dengue; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Melioidosis; Mpox (Monkeypox); West Nile fever; Zoonotic malaria,TRUE,Dengue; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Mpox (Monkeypox); West Nile fever,TRUE,Dengue; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,1,2,1,5,3
Macaca radiata,Chordata,Mammalia,Primates,Cercopithecidae,TRUE,Alkhumra hemorrhagic fever; Kyasanur Forest disease; Tick-borne encephalitis,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,1,2,3,2,5
Macaca sinica,Chordata,Mammalia,Primates,Cercopithecidae,TRUE,Dengue; Japanese encephalitis; West Nile fever,TRUE,Dengue; West Nile fever,TRUE,Dengue; West Nile fever,0,0,0,3,0
Macaca sylvanus,Chordata,Mammalia,Primates,Cercopithecidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tick-borne encephalitis; West Nile fever; Yellow fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tick-borne encephalitis; West Nile fever; Yellow fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tick-borne encephalitis; West Nile fever; Yellow fever,1,2,2,2,4
Macronectes giganteus,Chordata,Aves,Procellariiformes,Procellariidae,FALSE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Macropus fuliginosus,Chordata,Mammalia,Diprotodontia,Macropodidae,TRUE,Non-typhoidal salmonellosis; Ross River virus disease,TRUE,Non-typhoidal salmonellosis,FALSE,,0,0,1,1,1
Macropus giganteus,Chordata,Mammalia,Diprotodontia,Macropodidae,FALSE,Barmah Forest virus disease; Murray Valley encephalitis; Ross River virus disease,FALSE,,FALSE,,0,1,0,2,1
Macrotus californicus,Chordata,Mammalia,Chiroptera,Phyllostomidae,FALSE,Rabies,FALSE,,FALSE,,0,0,1,1,1
Madoqua saltiana,Chordata,Mammalia,Artiodactyla,Bovidae,FALSE,Bluetongue,FALSE,,FALSE,,0,0,0,1,0
Malacorhynchus membranaceus,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Mandrillus sphinx,Chordata,Mammalia,Primates,Cercopithecidae,TRUE,O'nyong-nyong fever,FALSE,,FALSE,,0,0,0,1,0
Mareca americana,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,2,0,6
Mareca falcata,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Mareca penelope,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Japanese encephalitis,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,2,1,6
Mareca sibilatrix,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Mareca strepera,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Q fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,2,1,6
Marmaronetta angustirostris,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Marmosa demerarae,Chordata,Mammalia,Didelphimorphia,Didelphidae,TRUE,Dengue,TRUE,Dengue,TRUE,Dengue,0,1,0,0,1
Marmosa murina,Chordata,Mammalia,Didelphimorphia,Didelphidae,TRUE,Dengue,TRUE,Dengue,TRUE,Dengue,0,2,0,0,2
Marmosa robinsoni,Chordata,Mammalia,Didelphimorphia,Didelphidae,TRUE,Venezuelan equine encephalitis,TRUE,Venezuelan equine encephalitis,FALSE,,0,0,1,0,1
Marmosops parvidens,Chordata,Mammalia,Didelphimorphia,Didelphidae,TRUE,Dengue,TRUE,Dengue,TRUE,Dengue,0,1,0,0,1
Marmota baibacina,Chordata,Mammalia,Rodentia,Sciuridae,TRUE,Plague,TRUE,Plague,TRUE,Plague,0,1,1,0,2
Marmota caudata,Chordata,Mammalia,Rodentia,Sciuridae,TRUE,Plague,TRUE,Plague,TRUE,Plague,0,0,1,0,1
Marmota flaviventris,Chordata,Mammalia,Rodentia,Sciuridae,FALSE,Colorado tick fever; Powassan virus disease; Saint Louis encephalitis,FALSE,,FALSE,,1,0,0,3,0
Marmota himalayana,Chordata,Mammalia,Rodentia,Sciuridae,TRUE,Plague; Tick-borne encephalitis,TRUE,Plague; Tick-borne encephalitis,TRUE,Plague; Tick-borne encephalitis,0,1,1,0,2
Marmota monax,Chordata,Mammalia,Rodentia,Sciuridae,TRUE,Eastern equine encephalitis; Mpox (Monkeypox); Powassan virus disease; Rabies; Severe Acute Respiratory Syndrome (SARS); COVID-19; West Nile fever,TRUE,Mpox (Monkeypox); Severe Acute Respiratory Syndrome (SARS); COVID-19; West Nile fever,TRUE,West Nile fever,0,5,2,2,7
Marmota sibirica,Chordata,Mammalia,Rodentia,Sciuridae,TRUE,Plague,TRUE,Plague,TRUE,Plague,0,0,1,0,1
Martes americana,Chordata,Mammalia,Carnivora,Mustelidae,TRUE,Anthrax; Plague,TRUE,Plague,TRUE,Plague,1,0,0,1,0
Martes flavigula,Chordata,Mammalia,Carnivora,Mustelidae,FALSE,Rabies,FALSE,,FALSE,,0,1,0,0,1
Martes foina,Chordata,Mammalia,Carnivora,Mustelidae,TRUE,Anthrax; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Rabies,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),1,3,3,0,6
Martes martes,Chordata,Mammalia,Carnivora,Mustelidae,TRUE,Rabies,FALSE,,FALSE,,0,0,0,1,0
Martes zibellina,Chordata,Mammalia,Carnivora,Mustelidae,FALSE,Tularemia,FALSE,,FALSE,,0,0,1,0,1
Mastomys coucha,Chordata,Mammalia,Rodentia,Muridae,TRUE,Bluetongue; Crimean-Congo hemorrhagic fever,TRUE,Crimean-Congo hemorrhagic fever,TRUE,Crimean-Congo hemorrhagic fever,0,0,1,1,1
Mastomys erythroleucus,Chordata,Mammalia,Rodentia,Muridae,TRUE,Lassa fever; Rift Valley fever; West Nile fever,TRUE,Lassa fever; Rift Valley fever; West Nile fever,TRUE,Lassa fever; Rift Valley fever; West Nile fever,0,2,1,1,3
Mastomys huberti,Chordata,Mammalia,Rodentia,Muridae,TRUE,Lassa fever; Rift Valley fever,TRUE,Lassa fever; Rift Valley fever,TRUE,Lassa fever; Rift Valley fever,0,0,1,1,1
Mastomys natalensis,Chordata,Mammalia,Rodentia,Muridae,TRUE,Bluetongue; Chikungunya fever; Lassa fever; Rift Valley fever,TRUE,Chikungunya fever; Lassa fever; Rift Valley fever,TRUE,Chikungunya fever; Lassa fever; Rift Valley fever,1,1,2,2,3
Mazama americana,Chordata,Mammalia,Artiodactyla,Cervidae,FALSE,Rabies,FALSE,,FALSE,,0,0,1,0,1
Mazama gouazoupira,Chordata,Mammalia,Artiodactyla,Cervidae,FALSE,Human monocytic ehrlichiosis,FALSE,,FALSE,,0,1,0,0,1
Mazama nana,Chordata,Mammalia,Artiodactyla,Cervidae,FALSE,Bluetongue; Epizootic haemorrhagic disease,FALSE,,FALSE,,0,3,0,0,3
Megascops asio,Chordata,Aves,Strigiformes,Strigidae,FALSE,Tularemia,FALSE,,FALSE,,0,0,0,1,0
Megascops choliba,Chordata,Aves,Strigiformes,Strigidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Melanerpes carolinus,Chordata,Aves,Piciformes,Picidae,FALSE,Saint Louis encephalitis,FALSE,,FALSE,,0,0,0,1,0
Melanitta americana,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Melanitta fusca,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
Melanitta nigra,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Melanitta perspicillata,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Melanomys caliginosus,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Venezuelan equine encephalitis,TRUE,Venezuelan equine encephalitis,FALSE,,0,0,0,1,0
Meleagris gallopavo,Chordata,Aves,Galliformes,Phasianidae,TRUE,Eastern equine encephalitis; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Non-typhoidal salmonellosis; Venezuelan equine encephalitis; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Non-typhoidal salmonellosis; Venezuelan equine encephalitis; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,5,4,2,9
Meles anakuma,Chordata,Mammalia,Carnivora,Mustelidae,TRUE,Severe fever with thrombocytopenia syndrome (SFTS),TRUE,Severe fever with thrombocytopenia syndrome (SFTS),FALSE,,0,1,0,0,1
Meles leucurus,Chordata,Mammalia,Carnivora,Mustelidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Rabies,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,3,0,0,3
Meles meles,Chordata,Mammalia,Carnivora,Mustelidae,TRUE,Anthrax; Non-typhoidal salmonellosis; Plague; Rabies,TRUE,Non-typhoidal salmonellosis; Plague,TRUE,Plague,1,1,3,1,4
Mellivora capensis,Chordata,Mammalia,Carnivora,Mustelidae,TRUE,Anthrax; Rabies,FALSE,,FALSE,,1,1,1,0,2
Melogale moschata,Chordata,Mammalia,Carnivora,Mustelidae,TRUE,Rabies; Severe Acute Respiratory Syndrome (SARS); COVID-19,TRUE,Severe Acute Respiratory Syndrome (SARS); COVID-19,FALSE,,0,1,0,4,1
Melospiza melodia,Chordata,Aves,Passeriformes,Passerellidae,TRUE,Eastern equine encephalitis; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,5,1,0,6
Melursus ursinus,Chordata,Mammalia,Carnivora,Ursidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Rabies,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,3,0,0,3
Menetes berdmorei,Chordata,Mammalia,Rodentia,Sciuridae,FALSE,Scrub typhus,FALSE,,FALSE,,0,1,0,0,1
Mephitis macroura,Chordata,Mammalia,Carnivora,Mephitidae,FALSE,Rabies,FALSE,,FALSE,,0,1,1,0,2
Mephitis mephitis,Chordata,Mammalia,Carnivora,Mephitidae,TRUE,Anthrax; Brazilian spotted fever; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Plague; Powassan virus disease; Q fever; Rabies; Saint Louis encephalitis; Tularemia; West Nile fever; Western equine encephalitis,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Plague; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Plague; West Nile fever,1,7,3,9,10
Mergellus albellus,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
Mergus merganser,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tick-borne encephalitis,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tick-borne encephalitis,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tick-borne encephalitis,0,3,0,0,3
Mergus squamatus,Chordata,Aves,Anseriformes,Anatidae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,0,0,1
Meriones crassus,Chordata,Mammalia,Rodentia,Muridae,FALSE,Crimean-Congo hemorrhagic fever; Rift Valley fever,TRUE,Crimean-Congo hemorrhagic fever; Rift Valley fever,TRUE,Crimean-Congo hemorrhagic fever; Rift Valley fever,0,0,0,2,0
Meriones meridianus,Chordata,Mammalia,Rodentia,Muridae,TRUE,Plague,TRUE,Plague,TRUE,Plague,0,0,1,0,1
Meriones unguiculatus,Chordata,Mammalia,Rodentia,Muridae,TRUE,Plague,TRUE,Plague,TRUE,Plague,0,0,1,0,1
Merops apiaster,Chordata,Aves,Coraciiformes,Meropidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Mesocricetus auratus,Chordata,Mammalia,Rodentia,Cricetidae,TRUE,Andes hantavirus infection; Babesiosis due to Babesia microti; Chagas disease; Japanese encephalitis; Marburg virus disease; Severe Acute Respiratory Syndrome (SARS); COVID-19; Tularemia; Vesicular stomatitis; West Nile fever; Yellow fever,TRUE,Marburg virus disease; Severe Acute Respiratory Syndrome (SARS); COVID-19; West Nile fever; Yellow fever,TRUE,Marburg virus disease; West Nile fever; Yellow fever,4,9,1,1,10
Mesomys hispidus,Chordata,Mammalia,Rodentia,Echimyidae,TRUE,Dengue,TRUE,Dengue,TRUE,Dengue,0,1,0,0,1
Micaelamys namaquensis,Chordata,Mammalia,Rodentia,Muridae,FALSE,Crimean-Congo hemorrhagic fever; Rift Valley fever,TRUE,Crimean-Congo hemorrhagic fever; Rift Valley fever,TRUE,Crimean-Congo hemorrhagic fever; Rift Valley fever,0,0,0,2,0
Mico argentatus,Chordata,Mammalia,Primates,Cebidae,TRUE,Chagas disease; Mayaro virus disease; Yellow fever,TRUE,Yellow fever,TRUE,Yellow fever,2,0,0,2,0
Mico emiliae,Chordata,Mammalia,Primates,Cebidae,FALSE,Chagas disease,FALSE,,FALSE,,1,0,0,0,0
Mico leucippe,Chordata,Mammalia,Primates,Cebidae,TRUE,Mayaro virus disease; Yellow fever,TRUE,Yellow fever,TRUE,Yellow fever,0,0,0,2,0
Microcarbo coronatus,Chordata,Aves,Suliformes,Phalacrocoracidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Microcarbo melanoleucos,Chordata,Aves,Suliformes,Phalacrocoracidae,FALSE,Murray Valley encephalitis,FALSE,,FALSE,,0,0,0,1,0
Microcarbo niger,Chordata,Aves,Suliformes,Phalacrocoracidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Microeca fascinans,Chordata,Aves,Passeriformes,Petroicidae,FALSE,Ross River virus disease,FALSE,,FALSE,,0,2,1,0,3
Micromys minutus,Chordata,Mammalia,Rodentia,Muridae,TRUE,Hemorrhagic fever with renal syndrome (Hantaan virus); Tularemia,TRUE,Hemorrhagic fever with renal syndrome (Hantaan virus),TRUE,Hemorrhagic fever with renal syndrome (Hantaan virus),0,1,0,2,1
Micronycteris megalotis,Chordata,Mammalia,Chiroptera,Phyllostomidae,FALSE,Rabies,FALSE,,FALSE,,0,0,0,1,0
Microtus agrestis,Chordata,Mammalia,Rodentia,Cricetidae,TRUE,Babesiosis due to Babesia microti; Tick-borne encephalitis; Tularemia,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,0,2,0,1,2
Microtus arvalis,Chordata,Mammalia,Rodentia,Cricetidae,TRUE,Babesiosis due to Babesia microti; Plague; Q fever; Tick-borne encephalitis; Tularemia; West Nile fever,TRUE,Plague; Tick-borne encephalitis; West Nile fever,TRUE,Plague; Tick-borne encephalitis; West Nile fever,0,3,2,3,5
Microtus californicus,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Colorado tick fever; Hantavirus pulmonary syndrome; Prospect Hill hantavirus infection; Saint Louis encephalitis; Sin Nombre hantavirus infection,TRUE,Hantavirus pulmonary syndrome,TRUE,Hantavirus pulmonary syndrome,0,0,0,5,0
Microtus guentheri,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,0,0,1,0
Microtus ilaeus,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,0,0,0,1,0
Microtus montanus,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Hantavirus pulmonary syndrome; Sin Nombre hantavirus infection,TRUE,Hantavirus pulmonary syndrome,TRUE,Hantavirus pulmonary syndrome,0,2,0,2,2
Microtus ochrogaster,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Hantavirus pulmonary syndrome; Sin Nombre hantavirus infection,TRUE,Hantavirus pulmonary syndrome,TRUE,Hantavirus pulmonary syndrome,0,0,0,2,0
Microtus oeconomus,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Babesiosis due to Babesia microti,FALSE,,FALSE,,0,1,0,0,1
Microtus pennsylvanicus,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Brazilian spotted fever; Eastern equine encephalitis; Hantavirus pulmonary syndrome; Prospect Hill hantavirus infection; Sin Nombre hantavirus infection; Tularemia,TRUE,Hantavirus pulmonary syndrome,TRUE,Hantavirus pulmonary syndrome,0,1,2,4,3
Microtus pinetorum,Chordata,Mammalia,Rodentia,Cricetidae,TRUE,Brazilian spotted fever,FALSE,,FALSE,,0,0,1,0,1
Microtus rossiaemeridionalis,Chordata,Mammalia,Rodentia,Cricetidae,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,0,1,0,0,1
Millardia meltada,Chordata,Mammalia,Rodentia,Muridae,FALSE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,0,0,1,0
Milvago chimango,Chordata,Aves,Falconiformes,Falconidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Milvus migrans,Chordata,Aves,Accipitriformes,Accipitridae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Q fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,5,0,0,5
Milvus milvus,Chordata,Aves,Accipitriformes,Accipitridae,FALSE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Mimus polyglottos,Chordata,Aves,Passeriformes,Mimidae,TRUE,Saint Louis encephalitis; West Nile fever; Western equine encephalitis,TRUE,West Nile fever,TRUE,West Nile fever,0,2,1,2,3
Miniopterus fuliginosus,Chordata,Mammalia,Chiroptera,Miniopteridae,FALSE,Japanese encephalitis,FALSE,,FALSE,,0,0,1,1,1
Miniopterus inflatus,Chordata,Mammalia,Chiroptera,Miniopteridae,TRUE,Marburg virus disease,TRUE,Marburg virus disease,TRUE,Marburg virus disease,0,1,0,1,1
Miniopterus schreibersii,Chordata,Mammalia,Chiroptera,Miniopteridae,TRUE,Alkhumra hemorrhagic fever; Australian bat lyssavirus infection; Duvenhage lyssavirus infection; Japanese encephalitis; Kyasanur Forest disease; Rift Valley fever; Severe Acute Respiratory Syndrome (SARS); COVID-19; Severe fever with thrombocytopenia syndrome (SFTS),TRUE,Rift Valley fever; Severe Acute Respiratory Syndrome (SARS); COVID-19; Severe fever with thrombocytopenia syndrome (SFTS),TRUE,Rift Valley fever,0,6,3,3,9
Mirounga angustirostris,Chordata,Mammalia,Carnivora,Phocidae,FALSE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Klebsiella infection (pneumonia sepsis); Non-typhoidal salmonellosis,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Non-typhoidal salmonellosis,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,2,0,4
Mirounga leonina,Chordata,Mammalia,Carnivora,Phocidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Misgurnus anguillicaudatus,Chordata,Actinopterygii,Cypriniformes,Cobitidae,FALSE,Cholera,FALSE,,FALSE,,0,1,0,0,1
Molossops neglectus,Chordata,Mammalia,Chiroptera,Molossidae,FALSE,Rabies,FALSE,,FALSE,,0,1,1,1,2
Molossus molossus,Chordata,Mammalia,Chiroptera,Molossidae,TRUE,Dengue; Middle East Respiratory Syndrome (MERS); Rabies; Rocio virus encephalitis; Saint Louis encephalitis; Yellow fever,TRUE,Dengue; Middle East Respiratory Syndrome (MERS); Yellow fever,TRUE,Dengue; Yellow fever,0,3,1,4,4
Molossus nigricans,Chordata,Mammalia,Chiroptera,Molossidae,FALSE,Chikungunya fever; Dengue; Zika virus disease,TRUE,Chikungunya fever; Dengue; Zika virus disease,TRUE,Chikungunya fever; Dengue; Zika virus disease,0,3,0,0,3
Molossus pretiosus,Chordata,Mammalia,Chiroptera,Molossidae,TRUE,Dengue,TRUE,Dengue,TRUE,Dengue,0,1,0,0,1
Molossus rufus,Chordata,Mammalia,Chiroptera,Molossidae,TRUE,Dengue; Rabies; Rocio virus encephalitis; Saint Louis encephalitis; Yellow fever,TRUE,Dengue; Yellow fever,TRUE,Dengue; Yellow fever,0,2,1,4,3
Molossus sinaloae,Chordata,Mammalia,Chiroptera,Molossidae,TRUE,Dengue,TRUE,Dengue,TRUE,Dengue,0,1,0,0,1
Molothrus ater,Chordata,Aves,Passeriformes,Icteridae,TRUE,Brazilian spotted fever; Q fever; West Nile fever; Western equine encephalitis,TRUE,West Nile fever,TRUE,West Nile fever,0,2,1,3,3
Molothrus bonariensis,Chordata,Aves,Passeriformes,Icteridae,FALSE,Rocio virus encephalitis,FALSE,,FALSE,,0,0,1,0,1
Monodelphis brevicaudata,Chordata,Mammalia,Didelphimorphia,Didelphidae,FALSE,Chagas disease,FALSE,,FALSE,,0,1,0,0,1
Monodelphis domestica,Chordata,Mammalia,Didelphimorphia,Didelphidae,TRUE,Mpox (Monkeypox),TRUE,Mpox (Monkeypox),FALSE,,0,1,0,0,1
Montifringilla henrici,Chordata,Aves,Passeriformes,Passeridae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Mops condylurus,Chordata,Mammalia,Chiroptera,Molossidae,FALSE,Ebola virus disease; West Nile fever; Zika virus disease,TRUE,Ebola virus disease; West Nile fever; Zika virus disease,TRUE,Ebola virus disease; West Nile fever; Zika virus disease,0,0,0,3,0
Mops plicatus,Chordata,Mammalia,Chiroptera,Molossidae,FALSE,Australian bat lyssavirus infection; Severe Acute Respiratory Syndrome (SARS); COVID-19,TRUE,Severe Acute Respiratory Syndrome (SARS); COVID-19,FALSE,,0,3,3,1,6
Mops pumilus,Chordata,Mammalia,Chiroptera,Molossidae,FALSE,Chikungunya fever; West Nile fever,TRUE,Chikungunya fever; West Nile fever,TRUE,Chikungunya fever; West Nile fever,0,0,1,1,1
