host_species,host_phylum,host_class,host_order,host_family,host_in_gonzalos_list,diseases,has_pilot_disease,pilot_diseases,has_pilot_include_disease,pilot_include_diseases,Not_specified,PCR_Sequencing,Isolation_Observation,Antibodies,Any_PCR_Or_Observation
Corvus tristis,Chordata,Aves,Passeriformes,Corvidae,FALSE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,0,0,1
Corynorhinus townsendii,Chordata,Mammalia,Chiroptera,Vespertilionidae,TRUE,Rabies,FALSE,,FALSE,,0,1,1,0,2
Coscoroba coscoroba,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Coturnix coturnix,Chordata,Aves,Galliformes,Phasianidae,TRUE,Eastern equine encephalitis; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tularemia,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,3,1,7
Coturnix japonica,Chordata,Aves,Galliformes,Phasianidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
Crex crex,Chordata,Aves,Gruiformes,Rallidae,FALSE,Tularemia,FALSE,,FALSE,,0,0,0,1,0
Cricetomys emini,Chordata,Mammalia,Rodentia,Nesomyidae,FALSE,Mpox (Monkeypox),TRUE,Mpox (Monkeypox),FALSE,,0,0,0,1,0
Cricetomys gambianus,Chordata,Mammalia,Rodentia,Nesomyidae,TRUE,Mpox (Monkeypox),TRUE,Mpox (Monkeypox),FALSE,,0,2,0,0,2
Cricetulus barabensis,Chordata,Mammalia,Rodentia,Cricetidae,TRUE,Hemorrhagic fever with renal syndrome (Hantaan virus); Tick-borne encephalitis,TRUE,Hemorrhagic fever with renal syndrome (Hantaan virus); Tick-borne encephalitis,TRUE,Hemorrhagic fever with renal syndrome (Hantaan virus); Tick-borne encephalitis,0,3,1,0,4
Cricetulus migratorius,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Tularemia,FALSE,,FALSE,,0,1,0,0,1
Crocidura lasiura,Chordata,Mammalia,Eulipotyphla,Soricidae,FALSE,Hemorrhagic fever with renal syndrome (Hantaan virus); Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Hemorrhagic fever with renal syndrome (Hantaan virus); Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Hemorrhagic fever with renal syndrome (Hantaan virus); Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,1,2
Crocidura leucodon,Chordata,Mammalia,Eulipotyphla,Soricidae,TRUE,Borna disease (encephalitis),TRUE,Borna disease (encephalitis),FALSE,,0,1,0,0,1
Crocidura olivieri,Chordata,Mammalia,Eulipotyphla,Soricidae,FALSE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,0,0,1,0
Crocidura russula,Chordata,Mammalia,Eulipotyphla,Soricidae,TRUE,Borna disease (encephalitis); Hemorrhagic fever with renal syndrome (Hantaan virus); West Nile fever,TRUE,Borna disease (encephalitis); Hemorrhagic fever with renal syndrome (Hantaan virus); West Nile fever,TRUE,Hemorrhagic fever with renal syndrome (Hantaan virus); West Nile fever,0,2,0,1,2
Crocidura shantungensis,Chordata,Mammalia,Eulipotyphla,Soricidae,FALSE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Rabies,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,3,0,0,3
Crocidura suaveolens,Chordata,Mammalia,Eulipotyphla,Soricidae,FALSE,Borna disease (encephalitis); Tularemia,TRUE,Borna disease (encephalitis),FALSE,,0,1,0,1,1
Crocodylus moreletii,Chordata,Reptilia,Crocodylia,Crocodylidae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,1,0,2
Crocodylus niloticus,Chordata,Reptilia,Crocodylia,Crocodylidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,3,0,0,3
Crocodylus porosus,Chordata,Reptilia,Crocodylia,Crocodylidae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,0,0,1
