species_key,species,model_file_count,model_paths,source_labels,has_top_level_model,has_nested_model,nested_contexts,has_ensemble_mean,has_tss_clipped,prediction_statuses
apodemus peninsulae,Apodemus peninsulae,1,hosts/Apodemus_peninsulae/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Apodemus_peninsulae,TRUE,TRUE,completed
apodemus sylvaticus,Apodemus sylvaticus,1,hosts/Apodemus_sylvaticus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Apodemus_sylvaticus,TRUE,TRUE,completed
arctocephalus australis,Arctocephalus australis,1,hosts/Arctocephalus_australis/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Arctocephalus_australis,TRUE,TRUE,completed
arctocephalus gazella,Arctocephalus gazella,1,hosts/Arctocephalus_gazella/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Arctocephalus_gazella,TRUE,TRUE,completed
artibeus cinereus,Artibeus cinereus,1,hosts/Artibeus_cinereus/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Artibeus_cinereus,TRUE,TRUE,completed
artibeus jamaicensis,Artibeus jamaicensis,1,hosts/Artibeus_jamaicensis/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Artibeus_jamaicensis,TRUE,TRUE,completed
artibeus lituratus,Artibeus lituratus,1,hosts/Artibeus_lituratus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Artibeus_lituratus,TRUE,TRUE,completed
artibeus obscurus,Artibeus obscurus,1,hosts/Artibeus_obscurus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Artibeus_obscurus,TRUE,TRUE,completed
artibeus planirostris,Artibeus planirostris,1,hosts/Artibeus_planirostris/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Artibeus_planirostris,TRUE,TRUE,completed
arvicanthis niloticus,Arvicanthis niloticus,1,hosts/Arvicanthis_niloticus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Arvicanthis_niloticus,TRUE,TRUE,completed
atelerix albiventris,Atelerix albiventris,1,hosts/Atelerix_albiventris/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Atelerix_albiventris,TRUE,TRUE,completed
ateles fusciceps,Ateles fusciceps,1,hosts/Ateles_fusciceps/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Ateles_fusciceps,TRUE,TRUE,completed
ateles geoffroyi,Ateles geoffroyi,1,hosts/Ateles_geoffroyi/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Ateles_geoffroyi,TRUE,TRUE,completed
ateles paniscus,Ateles paniscus,1,hosts/Ateles_paniscus/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Ateles_paniscus,TRUE,TRUE,completed
austrelaps superbus,Austrelaps superbus,1,hosts/Austrelaps_superbus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Austrelaps_superbus,TRUE,TRUE,completed
balaenoptera acutorostrata,Balaenoptera acutorostrata,1,hosts/Balaenoptera_acutorostrata/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Balaenoptera_acutorostrata,TRUE,TRUE,completed
bandicota indica,Bandicota indica,1,hosts/Bandicota_indica/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Bandicota_indica,TRUE,TRUE,completed
barbastella barbastellus,Barbastella barbastellus,1,hosts/Barbastella_barbastellus/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Barbastella_barbastellus,TRUE,TRUE,completed
bassariscus astutus,Bassariscus astutus,1,hosts/Bassariscus_astutus/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Bassariscus_astutus,TRUE,TRUE,completed
bellatorias frerei,Bellatorias frerei,1,hosts/Bellatorias_frerei/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Bellatorias_frerei,TRUE,TRUE,completed
bison bison,Bison bison,1,hosts/Bison_bison/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Bison_bison,TRUE,TRUE,completed
bitis nasicornis,Bitis nasicornis,1,hosts/Bitis_nasicornis/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Bitis_nasicornis,TRUE,TRUE,completed
boa constrictor,Boa constrictor,1,hosts/Boa_constrictor/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Boa_constrictor,TRUE,TRUE,completed
boiga irregularis,Boiga irregularis,1,hosts/Boiga_irregularis/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Boiga_irregularis,TRUE,TRUE,completed
bos frontalis,Bos frontalis,1,hosts/Bos_frontalis/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Bos_frontalis,TRUE,TRUE,completed
bos grunniens,Bos grunniens,1,hosts/Bos_grunniens/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Bos_grunniens,TRUE,TRUE,completed
bos taurus,Bos taurus,1,hosts/Bos_taurus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Bos_taurus,TRUE,TRUE,completed
bothriechis schlegelii,Bothriechis schlegelii,1,hosts/Bothriechis_schlegelii/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Bothriechis_schlegelii,TRUE,TRUE,completed
bradypus tridactylus,Bradypus tridactylus,1,hosts/Bradypus_tridactylus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Bradypus_tridactylus,TRUE,TRUE,completed
bubalus bubalis,Bubalus bubalis,1,hosts/Bubalus_bubalis/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Bubalus_bubalis,TRUE,TRUE,completed
callicebus nigrifrons,Callicebus nigrifrons,1,hosts/Callicebus_nigrifrons/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Callicebus_nigrifrons,TRUE,TRUE,completed
callicebus personatus,Callicebus personatus,1,hosts/Callicebus_personatus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Callicebus_personatus,TRUE,TRUE,completed
callithrix aurita,Callithrix aurita,1,hosts/Callithrix_aurita/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Callithrix_aurita,TRUE,TRUE,completed
callithrix geoffroyi,Callithrix geoffroyi,1,hosts/Callithrix_geoffroyi/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Callithrix_geoffroyi,TRUE,TRUE,completed
callithrix jacchus,Callithrix jacchus,1,hosts/Callithrix_jacchus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Callithrix_jacchus,TRUE,TRUE,completed
callithrix penicillata,Callithrix penicillata,1,hosts/Callithrix_penicillata/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Callithrix_penicillata,TRUE,TRUE,completed
callospermophilus lateralis,Callospermophilus lateralis,1,hosts/Callospermophilus_lateralis/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Callospermophilus_lateralis,TRUE,TRUE,completed
caluromys philander,Caluromys philander,1,hosts/Caluromys_philander/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Caluromys_philander,TRUE,TRUE,completed
camelus bactrianus,Camelus bactrianus,1,hosts/Camelus_bactrianus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Camelus_bactrianus,TRUE,TRUE,completed
camelus dromedarius,Camelus dromedarius,1,hosts/Camelus_dromedarius/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Camelus_dromedarius,TRUE,TRUE,completed
canis aureus,Canis aureus,1,hosts/Canis_aureus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Canis_aureus,TRUE,TRUE,completed
canis latrans,Canis latrans,1,hosts/Canis_latrans/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Canis_latrans,TRUE,TRUE,completed
canis lupus,Canis lupus,1,hosts/Canis_lupus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Canis_lupus,TRUE,TRUE,completed
canis mesomelas,Canis mesomelas,1,hosts/Canis_mesomelas/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Canis_mesomelas,TRUE,TRUE,completed
capra hircus,Capra hircus,1,hosts/Capra_hircus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Capra_hircus,TRUE,TRUE,completed
capreolus capreolus,Capreolus capreolus,1,hosts/Capreolus_capreolus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Capreolus_capreolus,TRUE,TRUE,completed
capreolus pygargus,Capreolus pygargus,1,hosts/Capreolus_pygargus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Capreolus_pygargus,TRUE,TRUE,completed
carollia brevicauda,Carollia brevicauda,1,hosts/Carollia_brevicauda/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Carollia_brevicauda,TRUE,TRUE,completed
carollia perspicillata,Carollia perspicillata,1,hosts/Carollia_perspicillata/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Carollia_perspicillata,TRUE,TRUE,completed
castor fiber,Castor fiber,1,hosts/Castor_fiber/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Castor_fiber,TRUE,TRUE,completed
cavia porcellus,Cavia porcellus,1,hosts/Cavia_porcellus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Cavia_porcellus,TRUE,TRUE,completed
cephalophus callipygus,Cephalophus callipygus,1,hosts/Cephalophus_callipygus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Cephalophus_callipygus,TRUE,TRUE,completed
cephalorhynchus eutropia,Cephalorhynchus eutropia,1,hosts/Cephalorhynchus_eutropia/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Cephalorhynchus_eutropia,TRUE,TRUE,completed
ceratotherium simum,Ceratotherium simum,1,hosts/Ceratotherium_simum/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Ceratotherium_simum,TRUE,TRUE,completed
cercopithecus ascanius,Cercopithecus ascanius,1,hosts/Cercopithecus_ascanius/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Cercopithecus_ascanius,TRUE,TRUE,completed
