species_name,species_safe,cleaned_path,n_rows,flag_taxonomy_review,multi_high_taxonomy_levels,multi_any_taxonomy_levels,non_animalia,non_chordata,non_mammalia,species_value_mismatch,mismatched_species_values,manifest_taxonomy_mismatch_levels,n_unique_kingdom,n_unique_phylum,n_unique_class,n_unique_order,n_unique_family,n_unique_genus,n_unique_species,values_kingdom,values_phylum,values_class,values_order,values_family,values_genus,values_species
Redunca arundinum,Redunca_arundinum,sdms/runs/host_sdm_push/occurrences/Redunca_arundinum/gbif-download/cleaned/Redunca_arundinum_cleaned.csv,1249,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Redunca,Redunca arundinum
Redunca fulvorufula,Redunca_fulvorufula,sdms/runs/host_sdm_push/occurrences/Redunca_fulvorufula/gbif-download/cleaned/Redunca_fulvorufula_cleaned.csv,378,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Redunca,Redunca fulvorufula
Rhabdomys pumilio,Rhabdomys_pumilio,sdms/runs/host_sdm_push/occurrences/Rhabdomys_pumilio/gbif-download/cleaned/Rhabdomys_pumilio_cleaned.csv,2029,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rhabdomys,Rhabdomys pumilio
Rhinoceros unicornis,Rhinoceros_unicornis,sdms/runs/host_sdm_push/occurrences/Rhinoceros_unicornis/gbif-download/cleaned/Rhinoceros_unicornis_cleaned.csv,1275,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,Rhinoceros unicornis
Rucervus duvaucelii,Rucervus_duvaucelii,sdms/runs/host_sdm_push/occurrences/Rucervus_duvaucelii/gbif-download/cleaned/Rucervus_duvaucelii_cleaned.csv,377,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rucervus,Rucervus duvaucelii
Saimiri oerstedii,Saimiri_oerstedii,sdms/runs/host_sdm_push/occurrences/Saimiri_oerstedii/gbif-download/cleaned/Saimiri_oerstedii_cleaned.csv,1272,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Cebidae,Saimiri,Saimiri oerstedii
Sciurus vulgaris,Sciurus_vulgaris,sdms/runs/host_sdm_push/occurrences/Sciurus_vulgaris/gbif-download/cleaned/Sciurus_vulgaris_cleaned.csv,828358,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus vulgaris
Sekeetamys calurus,Sekeetamys_calurus,sdms/runs/host_sdm_push/occurrences/Sekeetamys_calurus/gbif-download/cleaned/Sekeetamys_calurus_cleaned.csv,43,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Sekeetamys,Sekeetamys calurus
Spermophilus citellus,Spermophilus_citellus,sdms/runs/host_sdm_push/occurrences/Spermophilus_citellus/gbif-download/cleaned/Spermophilus_citellus_cleaned.csv,6225,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,Spermophilus citellus
Stenocranius gregalis,Stenocranius_gregalis,sdms/runs/host_sdm_push/occurrences/Stenocranius_gregalis/gbif-download/cleaned/Stenocranius_gregalis_cleaned.csv,225,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,
Sylvicapra grimmia,Sylvicapra_grimmia,sdms/runs/host_sdm_push/occurrences/Sylvicapra_grimmia/gbif-download/cleaned/Sylvicapra_grimmia_cleaned.csv,7813,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Sylvicapra,Sylvicapra grimmia
Tamandua tetradactyla,Tamandua_tetradactyla,sdms/runs/host_sdm_push/occurrences/Tamandua_tetradactyla/gbif-download/cleaned/Tamandua_tetradactyla_cleaned.csv,2842,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Pilosa,Myrmecophagidae,Tamandua,Tamandua tetradactyla
Tamias amoenus,Tamias_amoenus,sdms/runs/host_sdm_push/occurrences/Tamias_amoenus/gbif-download/cleaned/Tamias_amoenus_cleaned.csv,3998,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias amoenus
Tamias minimus,Tamias_minimus,sdms/runs/host_sdm_push/occurrences/Tamias_minimus/gbif-download/cleaned/Tamias_minimus_cleaned.csv,7271,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias minimus
Tamias sibiricus,Tamias_sibiricus,sdms/runs/host_sdm_push/occurrences/Tamias_sibiricus/gbif-download/cleaned/Tamias_sibiricus_cleaned.csv,16204,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias sibiricus
Tamias striatus,Tamias_striatus,sdms/runs/host_sdm_push/occurrences/Tamias_striatus/gbif-download/cleaned/Tamias_striatus_cleaned.csv,70557,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias striatus
Tamiasciurus hudsonicus,Tamiasciurus_hudsonicus,sdms/runs/host_sdm_push/occurrences/Tamiasciurus_hudsonicus/gbif-download/cleaned/Tamiasciurus_hudsonicus_cleaned.csv,67822,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,Tamiasciurus hudsonicus
Tatera indica,Tatera_indica,sdms/runs/host_sdm_push/occurrences/Tatera_indica/gbif-download/cleaned/Tatera_indica_cleaned.csv,87,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Tatera,Tatera indica
Taxidea taxus,Taxidea_taxus,sdms/runs/host_sdm_push/occurrences/Taxidea_taxus/gbif-download/cleaned/Taxidea_taxus_cleaned.csv,4099,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Taxidea,Taxidea taxus
Thallomys nigricauda,Thallomys_nigricauda,sdms/runs/host_sdm_push/occurrences/Thallomys_nigricauda/gbif-download/cleaned/Thallomys_nigricauda_cleaned.csv,40,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Thallomys,Thallomys nigricauda
Tragelaphus angasii,Tragelaphus_angasii,sdms/runs/host_sdm_push/occurrences/Tragelaphus_angasii/gbif-download/cleaned/Tragelaphus_angasii_cleaned.csv,4494,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus angasii
Tragelaphus strepsiceros,Tragelaphus_strepsiceros,sdms/runs/host_sdm_push/occurrences/Tragelaphus_strepsiceros/gbif-download/cleaned/Tragelaphus_strepsiceros_cleaned.csv,11295,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus strepsiceros
Xerus erythropus,Xerus_erythropus,sdms/runs/host_sdm_push/occurrences/Xerus_erythropus/gbif-download/cleaned/Xerus_erythropus_cleaned.csv,1296,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Xerus,Xerus erythropus
Xerus inauris,Xerus_inauris,sdms/runs/host_sdm_push/occurrences/Xerus_inauris/gbif-download/cleaned/Xerus_inauris_cleaned.csv,2583,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Xerus,Xerus inauris
Zapus hudsonius,Zapus_hudsonius,sdms/runs/host_sdm_push/occurrences/Zapus_hudsonius/gbif-download/cleaned/Zapus_hudsonius_cleaned.csv,3360,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Zapus,Zapus hudsonius
