species_name,species_safe,cleaned_path,n_rows,flag_taxonomy_review,multi_high_taxonomy_levels,multi_any_taxonomy_levels,non_animalia,non_chordata,non_mammalia,species_value_mismatch,mismatched_species_values,manifest_taxonomy_mismatch_levels,n_unique_kingdom,n_unique_phylum,n_unique_class,n_unique_order,n_unique_family,n_unique_genus,n_unique_species,values_kingdom,values_phylum,values_class,values_order,values_family,values_genus,values_species
Artibeus cinereus,Artibeus_cinereus,sdms/runs/host_sdm_push/occurrences/Artibeus_cinereus/gbif-download/cleaned/Artibeus_cinereus_cleaned.csv,331,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,Artibeus cinereus
Ateles paniscus,Ateles_paniscus,sdms/runs/host_sdm_push/occurrences/Ateles_paniscus/gbif-download/cleaned/Ateles_paniscus_cleaned.csv,2209,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,Ateles paniscus
Babyrousa babyrussa,Babyrousa_babyrussa,sdms/runs/host_sdm_push/occurrences/Babyrousa_babyrussa/gbif-download/cleaned/Babyrousa_babyrussa_cleaned.csv,2,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Babyrousa,Babyrousa babyrussa
Bandicota bengalensis,Bandicota_bengalensis,sdms/runs/host_sdm_push/occurrences/Bandicota_bengalensis/gbif-download/cleaned/Bandicota_bengalensis_cleaned.csv,35,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Bandicota,Bandicota bengalensis
Bandicota savilei,Bandicota_savilei,sdms/runs/host_sdm_push/occurrences/Bandicota_savilei/gbif-download/cleaned/Bandicota_savilei_cleaned.csv,30,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Bandicota,Bandicota savilei
Barbastella barbastellus,Barbastella_barbastellus,sdms/runs/host_sdm_push/occurrences/Barbastella_barbastellus/gbif-download/cleaned/Barbastella_barbastellus_cleaned.csv,97030,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Barbastella,Barbastella barbastellus
Bassariscus astutus,Bassariscus_astutus,sdms/runs/host_sdm_push/occurrences/Bassariscus_astutus/gbif-download/cleaned/Bassariscus_astutus_cleaned.csv,5854,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Bassariscus,Bassariscus astutus
Callospermophilus lateralis,Callospermophilus_lateralis,sdms/runs/host_sdm_push/occurrences/Callospermophilus_lateralis/gbif-download/cleaned/Callospermophilus_lateralis_cleaned.csv,17579,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,Callospermophilus lateralis
Canis mesomelas,Canis_mesomelas,sdms/runs/host_sdm_push/occurrences/Canis_mesomelas/gbif-download/cleaned/Canis_mesomelas_cleaned.csv,336,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis mesomelas
Cercopithecus diana,Cercopithecus_diana,sdms/runs/host_sdm_push/occurrences/Cercopithecus_diana/gbif-download/cleaned/Cercopithecus_diana_cleaned.csv,159,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,Cercopithecus diana
Cercopithecus mona,Cercopithecus_mona,sdms/runs/host_sdm_push/occurrences/Cercopithecus_mona/gbif-download/cleaned/Cercopithecus_mona_cleaned.csv,241,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,Cercopithecus mona
Cercopithecus nictitans,Cercopithecus_nictitans,sdms/runs/host_sdm_push/occurrences/Cercopithecus_nictitans/gbif-download/cleaned/Cercopithecus_nictitans_cleaned.csv,235,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,Cercopithecus nictitans
Chaetodipus hispidus,Chaetodipus_hispidus,sdms/runs/host_sdm_push/occurrences/Chaetodipus_hispidus/gbif-download/cleaned/Chaetodipus_hispidus_cleaned.csv,2641,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus hispidus
Chlorocebus pygerythrus,Chlorocebus_pygerythrus,sdms/runs/host_sdm_push/occurrences/Chlorocebus_pygerythrus/gbif-download/cleaned/Chlorocebus_pygerythrus_cleaned.csv,11078,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus,Chlorocebus pygerythrus
Connochaetes taurinus,Connochaetes_taurinus,sdms/runs/host_sdm_push/occurrences/Connochaetes_taurinus/gbif-download/cleaned/Connochaetes_taurinus_cleaned.csv,11998,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes,Connochaetes taurinus
Ctenodactylus gundi,Ctenodactylus_gundi,sdms/runs/host_sdm_push/occurrences/Ctenodactylus_gundi/gbif-download/cleaned/Ctenodactylus_gundi_cleaned.csv,53,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Ctenodactylidae,Ctenodactylus,Ctenodactylus gundi
Cynopterus sphinx,Cynopterus_sphinx,sdms/runs/host_sdm_push/occurrences/Cynopterus_sphinx/gbif-download/cleaned/Cynopterus_sphinx_cleaned.csv,598,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Cynopterus,Cynopterus sphinx
Cystophora cristata,Cystophora_cristata,sdms/runs/host_sdm_push/occurrences/Cystophora_cristata/gbif-download/cleaned/Cystophora_cristata_cleaned.csv,76,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Cystophora,Cystophora cristata
