species_name,species_name_canonical,species_role,sdm_needed_for_disease,sdm_available,sdm_species,run_status,run_priority,occurrence_method,gbif_occurrence_method,start_year,end_year,min_points,disease_count,disease_names,pilot_include_disease_names,analysis_unit_ids,host_phylum,host_class,host_order,host_family,host_in_gonzalos_list,has_pilot_disease,has_pilot_include_disease,Not_specified,PCR_Sequencing,Isolation_Observation,Antibodies,Any_PCR_Or_Observation,first_pass_eligible,eligibility_status,eligibility_reasons,taxonomy_review_needed,taxonomy_review_reason,taxonomy_override_applied,taxonomy_override_notes,existing_model_path,occurrence_status,occurrence_rows_raw,occurrence_rows_clean,passes_min_points,gbif_occurrence_path,local_occurrence_path,combined_occurrence_path,model_status,model_output_path,synonym_review_status,synonym_notes,notes
Hesperosciurus griseus,Hesperosciurus griseus,host,yes,FALSE,Hesperosciurus griseus,pending,21,gbif-download,gbif-download,2000,2026,20,1,West Nile fever,West Nile fever,,Chordata,Mammalia,Rodentia,Sciuridae,FALSE,TRUE,TRUE,0,1,2,2,3,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,not_prepared,,,,"",,,not_run,,not_audited,,
Tamias minimus,Tamias minimus,host,yes,FALSE,Tamias minimus,occurrences_ready,22,gbif-download,gbif-download,2000,2026,20,1,Hantavirus pulmonary syndrome,Hantavirus pulmonary syndrome,,Chordata,Mammalia,Rodentia,Sciuridae,FALSE,TRUE,TRUE,0,2,1,2,3,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,7319,7271,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Tamias_minimus/gbif-download/cleaned/Tamias_minimus_cleaned.csv,,,not_run,,not_audited,,
Dama dama,Dama dama,host,yes,FALSE,Dama dama,occurrences_ready,23,gbif-download,gbif-download,2000,2026,20,3,Hepatitis E; Tick-borne encephalitis; West Nile fever,Hepatitis E; Tick-borne encephalitis; West Nile fever,,Chordata,Mammalia,Artiodactyla,Cervidae,FALSE,TRUE,TRUE,1,1,1,6,2,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,129082,128453,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Dama_dama/gbif-download/cleaned/Dama_dama_cleaned.csv,,,not_run,,not_audited,,
Crocidura lasiura,Crocidura lasiura,host,yes,FALSE,Crocidura lasiura,occurrences_ready,24,gbif-download,gbif-download,2000,2026,20,3,Hemorrhagic fever with renal syndrome (Hantaan virus); Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),Hemorrhagic fever with renal syndrome (Hantaan virus); Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),,Chordata,Mammalia,Eulipotyphla,Soricidae,FALSE,TRUE,TRUE,0,2,0,1,2,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,87,72,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Crocidura_lasiura/gbif-download/cleaned/Crocidura_lasiura_cleaned.csv,,,not_run,,not_audited,,
Oryzomys palustris,Oryzomys palustris,host,yes,FALSE,Oryzomys palustris,occurrences_ready,25,gbif-download,gbif-download,2000,2026,20,3,Hantavirus pulmonary syndrome; Hepatitis E; Venezuelan equine encephalitis,Hantavirus pulmonary syndrome; Hepatitis E,,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,TRUE,TRUE,0,1,1,6,2,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,529,483,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Oryzomys_palustris/gbif-download/cleaned/Oryzomys_palustris_cleaned.csv,,,not_run,,not_audited,,
Balaenoptera acutorostrata,Balaenoptera acutorostrata,host,yes,FALSE,Balaenoptera acutorostrata,occurrences_ready,26,gbif-download,gbif-download,2000,2026,20,2,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),,Chordata,Mammalia,Artiodactyla,Balaenopteridae,FALSE,TRUE,TRUE,0,0,2,2,2,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,19901,1061,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Balaenoptera_acutorostrata/gbif-download/cleaned/Balaenoptera_acutorostrata_cleaned.csv,,,not_run,,not_audited,,
Cephalorhynchus eutropia,Cephalorhynchus eutropia,host,yes,FALSE,Cephalorhynchus eutropia,occurrences_ready,27,gbif-download,gbif-download,2000,2026,20,2,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),,Chordata,Mammalia,Artiodactyla,Delphinidae,FALSE,TRUE,TRUE,0,2,0,0,2,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,486,264,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Cephalorhynchus_eutropia/gbif-download/cleaned/Cephalorhynchus_eutropia_cleaned.csv,,,not_run,,not_audited,,
Delphinus delphis,Delphinus delphis,host,yes,FALSE,Delphinus delphis,occurrences_ready,28,gbif-download,gbif-download,2000,2026,20,2,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),,Chordata,Mammalia,Artiodactyla,Delphinidae,FALSE,TRUE,TRUE,0,2,0,0,2,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,101106,12291,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Delphinus_delphis/gbif-download/cleaned/Delphinus_delphis_cleaned.csv,,,not_run,,not_audited,,
Lagenorhynchus acutus,Lagenorhynchus acutus,host,yes,FALSE,Lagenorhynchus acutus,occurrences_ready,29,gbif-download,gbif-download,2000,2026,20,2,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),,Chordata,Mammalia,Artiodactyla,Delphinidae,FALSE,TRUE,TRUE,0,2,0,0,2,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,5917,5078,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Lagenorhynchus_acutus/gbif-download/cleaned/Lagenorhynchus_acutus_cleaned.csv,,,not_run,,not_audited,,
Tursiops truncatus,Tursiops truncatus,host,yes,FALSE,Tursiops truncatus,occurrences_ready,30,gbif-download,gbif-download,2000,2026,20,2,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),,Chordata,Mammalia,Artiodactyla,Delphinidae,FALSE,TRUE,TRUE,0,2,0,0,2,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,133443,23089,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Tursiops_truncatus/gbif-download/cleaned/Tursiops_truncatus_cleaned.csv,,,not_run,,not_audited,,
