"species_name","source_method","source_dataset","output_path","rows","coordinate_rows","unique_coordinate_rows","source_species_column","latitude_column","longitude_column","source_path","extracted_at"
"Aedes togoi","mapveu","MapVEu sample + collection site + collection metadata",,0,0,0,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:07Z"
"Aedes triseriatus","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_triseriatus/vectormap/raw/Aedes_triseriatus_vectormap_occurrences.csv",1466,1466,182,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:07Z"
"Aedes triseriatus","mapveu","MapVEu sample + collection site + collection metadata",,0,0,0,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:07Z"
"Aedes vexans","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_vexans/vectormap/raw/Aedes_vexans_vectormap_occurrences.csv",23157,23157,578,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:07Z"
"Aedes vexans","mapveu","MapVEu sample + collection site + collection metadata","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_vexans/mapveu/raw/Aedes_vexans_mapveu_occurrences.csv",234093,234080,3022,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:08Z"
"Aedes vigilax","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_vigilax/vectormap/raw/Aedes_vigilax_vectormap_occurrences.csv",975,975,265,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:08Z"
"Aedes vigilax","mapveu","MapVEu sample + collection site + collection metadata",,0,0,0,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:08Z"
"Aedes vittatus","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_vittatus/vectormap/raw/Aedes_vittatus_vectormap_occurrences.csv",1027,1027,141,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:08Z"
"Aedes vittatus","mapveu","MapVEu sample + collection site + collection metadata","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_vittatus/mapveu/raw/Aedes_vittatus_mapveu_occurrences.csv",6,6,6,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:08Z"
"Coquillettidia linealis","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Coquillettidia_linealis/vectormap/raw/Coquillettidia_linealis_vectormap_occurrences.csv",177,177,65,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:08Z"
