disease_name,vector_role_bucket,vector_role_bucket_basis,vector_role_bucket_needs_review,biological_evidence_tier,best_evidence_level,vector_competence_status,bites_humans_true,rows
West Nile fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,not_competent,TRUE,1
West Nile fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,not_competent,FALSE,1
West Nile fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,unclear,FALSE,1
West Nile fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,unclear,TRUE,1
Yellow fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,confirmed,competent,TRUE,3
Yellow fever,enzootic_or_sylvatic_vector,reviewed_vector_assignment,TRUE,strict,confirmed,competent,TRUE,3
Yellow fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,confirmed,mixed,TRUE,1
Yellow fever,primary_or_main_vector,reviewed_vector_assignment,FALSE,strict,confirmed,mixed,TRUE,1
Yellow fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,confirmed,competent,FALSE,8
Yellow fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,probable,competent,FALSE,4
Yellow fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,TRUE,4
Yellow fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,FALSE,3
Yellow fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,,FALSE,2
Yellow fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,confirmed,,FALSE,1
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,broad,candidate,,FALSE,10
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,broad,weak,,FALSE,6
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,broad,candidate; weak,,FALSE,1
Zika virus disease,unknown_or_unreviewed_vector,taxonomy_caution,TRUE,excluded,candidate,,TRUE,2
Zika virus disease,bridge_or_epidemic_vector,reviewed_vector_assignment,TRUE,strict,probable,mixed,TRUE,3
Zika virus disease,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,probable,mixed,TRUE,2
Zika virus disease,enzootic_or_sylvatic_vector,reviewed_vector_assignment,TRUE,strict,confirmed,competent,TRUE,2
Zika virus disease,bridge_or_epidemic_vector,reviewed_vector_assignment,TRUE,strict,confirmed,mixed,TRUE,1
Zika virus disease,primary_or_main_vector,reviewed_vector_assignment,FALSE,strict,confirmed,mixed,TRUE,1
Zika virus disease,enzootic_or_sylvatic_vector,reviewed_vector_assignment,TRUE,strong,confirmed,competent,FALSE,2
Zika virus disease,bridge_or_epidemic_vector,reviewed_vector_assignment,TRUE,strong,confirmed,mixed,FALSE,1
Zika virus disease,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,mixed,FALSE,1
Zika virus disease,unknown_or_unreviewed_vector,reviewed_vector_assignment,TRUE,strong,candidate,mixed,TRUE,1
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,,TRUE,7
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,not_competent,FALSE,3
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,not_competent,TRUE,2
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,TRUE,2
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,not_competent,TRUE,2
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,,TRUE,2
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,FALSE,1
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,,FALSE,1
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,unclear,FALSE,1
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,unclear,TRUE,1
Zika virus disease,enzootic_or_sylvatic_vector,reviewed_vector_assignment,TRUE,supported,probable,unclear,TRUE,1
